movie_company_key,movie_id,company_id
1,5,14
2,5,59
3,11,1
4,11,306
5,12,3
6,13,4
7,14,27
8,14,2721
9,16,11239
10,16,119
11,16,14937
12,16,157
13,16,17513
14,16,201
15,16,2996
16,16,30268
17,16,321
18,16,4524
19,16,5358
20,16,53667
21,16,53668
22,16,53669
23,16,53670
24,16,53671
25,16,5755
26,16,591
27,16,5975
28,16,6916
29,16,7025
30,16,7330
31,16,76
32,16,8
33,16,8659
34,16,9349
35,18,5
36,18,9
37,19,12372
38,19,4
39,20,49
40,20,77
41,22,130
42,22,2
43,24,14
44,24,39121
45,24,59
46,25,14440
47,25,1522
48,25,19934
49,25,33
50,28,26663
51,28,60
52,33,171
53,33,6194
54,35,18
55,35,306
56,38,10039
57,38,10059
58,38,10146
59,55,11230
60,55,5084
61,58,130
62,58,19936
63,58,2
64,59,12
65,59,429
66,59,6363
67,62,385
68,62,8411
69,65,23
70,65,24
71,66,171
72,66,5
73,66,97
74,68,10214
75,69,6402
76,69,711
77,69,84
78,69,85
79,69,86
80,70,1171
81,70,126
82,70,16311
83,70,171
84,70,6194
85,71,10163
86,71,10462
87,71,288
88,71,686
89,71,694
90,71,718
91,73,11308
92,73,12
93,73,924
94,74,27
95,74,4
96,74,44
97,74,56
98,75,8601
99,76,98
100,77,34446
101,77,491
102,77,506
103,77,598
104,78,5798
105,78,6194
106,78,7965
107,79,2269
108,79,724
109,80,11509
110,80,97
111,80,98
112,83,22376
113,85,1
114,85,4
115,87,1
116,87,4
117,89,1
118,89,4
119,90,30
120,90,4
121,95,11533
122,95,130
123,95,9195
124,96,10288
125,96,30
126,96,4
127,98,14440
128,98,1645
129,98,21904
130,98,21905
131,98,21906
132,98,27
133,98,33
134,100,13419
135,100,1382
136,100,146
137,100,21920
138,100,491
139,103,441
140,103,46059
141,103,46060
142,104,1972
143,104,7025
144,105,20448
145,105,33
146,105,56
147,106,1302
148,106,1885
149,106,306
150,106,5263
151,106,5264
152,106,840
153,107,13419
154,107,3287
155,107,441
156,111,33
157,114,10282
158,114,9195
159,115,10163
160,115,1382
161,115,37
162,116,7
163,117,4
